date_day,year,quarter,month,day,day_of_week,week_of_year,is_weekend
2024-01-01,2024,1,1,1,1,0,0
2024-01-02,2024,1,1,2,2,0,0
2024-01-03,2024,1,1,3,3,0,0
2024-01-04,2024,1,1,4,4,0,0
2024-01-05,2024,1,1,5,5,0,0
2024-01-06,2024,1,1,6,6,0,1
2024-01-07,2024,1,1,7,7,1,1
2024-01-08,2024,1,1,8,1,1,0
2024-01-09,2024,1,1,9,2,1,0
2024-01-10,2024,1,1,10,3,1,0
2024-01-11,2024,1,1,11,4,1,0
2024-01-12,2024,1,1,12,5,1,0
2024-01-13,2024,1,1,13,6,1,1
2024-01-14,2024,1,1,14,7,2,1
2024-01-15,2024,1,1,15,1,2,0
2024-01-16,2024,1,1,16,2,2,0
2024-01-17,2024,1,1,17,3,2,0
2024-01-18,2024,1,1,18,4,2,0
2024-01-19,2024,1,1,19,5,2,0
2024-01-20,2024,1,1,20,6,2,1
2024-01-21,2024,1,1,21,7,3,1
2024-01-22,2024,1,1,22,1,3,0
2024-01-23,2024,1,1,23,2,3,0
2024-01-24,2024,1,1,24,3,3,0
2024-01-25,2024,1,1,25,4,3,0
2024-01-26,2024,1,1,26,5,3,0
2024-01-27,2024,1,1,27,6,3,1
2024-01-28,2024,1,1,28,7,4,1
2024-01-29,2024,1,1,29,1,4,0
2024-01-30,2024,1,1,30,2,4,0
2024-01-31,2024,1,1,31,3,4,0
2024-02-01,2024,1,2,1,4,4,0
2024-02-02,2024,1,2,2,5,4,0
2024-02-03,2024,1,2,3,6,4,1
2024-02-04,2024,1,2,4,7,5,1
2024-02-05,2024,1,2,5,1,5,0
2024-02-06,2024,1,2,6,2,5,0
2024-02-07,2024,1,2,7,3,5,0
2024-02-08,2024,1,2,8,4,5,0
2024-02-09,2024,1,2,9,5,5,0
2024-02-10,2024,1,2,10,6,5,1
2024-02-11,2024,1,2,11,7,6,1
2024-02-12,2024,1,2,12,1,6,0
2024-02-13,2024,1,2,13,2,6,0
2024-02-14,2024,1,2,14,3,6,0
2024-02-15,2024,1,2,15,4,6,0
2024-02-16,2024,1,2,16,5,6,0
2024-02-17,2024,1,2,17,6,6,1
2024-02-18,2024,1,2,18,7,7,1
2024-02-19,2024,1,2,19,1,7,0
2024-02-20,2024,1,2,20,2,7,0
2024-02-21,2024,1,2,21,3,7,0
2024-02-22,2024,1,2,22,4,7,0
2024-02-23,2024,1,2,23,5,7,0
2024-02-24,2024,1,2,24,6,7,1
2024-02-25,2024,1,2,25,7,8,1
2024-02-26,2024,1,2,26,1,8,0
2024-02-27,2024,1,2,27,2,8,0
2024-02-28,2024,1,2,28,3,8,0
2024-02-29,2024,1,2,29,4,8,0
2024-03-01,2024,1,3,1,5,8,0
