order_item_id,order_id,product_id,quantity,unit_price,discount_pct
1,1,29,2,421.02,0.05
2,1,26,3,117.29,0
3,1,26,4,117.29,0.05
4,1,13,1,268.63,0
5,2,20,4,494.85,0
6,2,5,2,106.58,0
7,3,28,2,313.91,0
8,3,1,3,76.34,0
9,3,10,2,349.62,0.1
10,3,11,3,261.61,0.1
11,4,27,4,172.18,0.1
12,4,5,2,106.58,0.1
13,4,17,1,371.24,0.05
14,4,25,2,44.87,0.1
15,4,1,2,76.34,0
16,5,22,4,347.8,0
17,5,29,1,421.02,0
18,5,7,3,273.87,0
19,6,11,2,261.61,0
20,6,15,4,308.55,0.1
21,6,8,3,380.28,0.1
22,6,29,2,421.02,0.05
23,7,14,1,168.18,0
24,7,22,3,347.8,0
25,8,29,2,421.02,0.05
26,8,8,1,380.28,0.05
27,8,29,4,421.02,0
28,9,14,2,168.18,0
29,9,11,1,261.61,0
30,9,1,3,76.34,0.1
31,10,3,1,241.92,0
32,10,29,1,421.02,0
33,10,9,3,489.36,0
34,10,29,2,421.02,0
35,10,25,2,44.87,0.05
36,11,3,3,241.92,0
37,11,26,2,117.29,0.05
38,11,29,1,421.02,0
39,12,9,1,489.36,0.05
40,13,17,2,371.24,0
41,14,25,2,44.87,0
42,14,15,2,308.55,0
43,14,12,1,181.07,0
44,14,2,1,174.6,0
45,14,24,2,494.08,0.1
46,15,27,4,172.18,0.1
47,15,10,2,349.62,0
48,15,11,2,261.61,0
49,15,13,3,268.63,0
50,15,27,2,172.18,0
51,16,3,4,241.92,0.1
52,17,9,4,489.36,0
53,17,9,3,489.36,0
54,18,6,1,184.07,0
55,18,13,1,268.63,0.05
56,18,9,2,489.36,0
57,19,19,1,181.0,0.05
58,19,1,3,76.34,0
59,19,21,2,238.76,0
60,19,19,2,181.0,0.1
61,20,24,2,494.08,0
62,20,27,4,172.18,0.1
63,20,5,1,106.58,0.1
64,21,2,2,174.6,0
65,22,22,2,347.8,0.05
