order_id,customer_id,order_date,status,shipping_cost,coupon_code,payment_method
1,42,2024-01-01,placed,13.21,FREESHIP,upi
2,11,2024-01-01,cancelled,0.55,SAVE5,paypal
3,1,2024-01-01,delivered,14.53,,upi
4,27,2024-01-01,delivered,1.22,NEW10,paypal
5,10,2024-01-01,shipped,14.5,SAVE5,card
6,50,2024-01-01,placed,9.04,,card
7,9,2024-01-01,shipped,7.85,NEW10,card
8,50,2024-01-01,paid,14.32,NEW10,upi
9,43,2024-01-01,delivered,3.23,FREESHIP,paypal
10,30,2024-01-01,shipped,0.36,NEW10,cod
11,44,2024-01-01,delivered,5.17,,paypal
12,2,2024-01-01,delivered,16.03,,upi
13,1,2024-01-01,paid,11.06,NEW10,upi
14,11,2024-01-01,paid,3.62,NEW10,cod
15,31,2024-01-01,paid,8.94,FREESHIP,paypal
16,5,2024-01-01,delivered,17.6,FREESHIP,upi
17,39,2024-01-02,paid,5.86,FREESHIP,upi
18,36,2024-01-02,paid,0.69,NEW10,upi
19,33,2024-01-02,delivered,1.82,,upi
20,25,2024-01-02,delivered,14.41,FREESHIP,upi
21,46,2024-01-02,delivered,13.87,,card
22,7,2024-01-02,shipped,9.03,,card
23,5,2024-01-02,delivered,4.7,,upi
24,17,2024-01-02,delivered,13.86,SAVE5,upi
25,18,2024-01-02,cancelled,1.99,,paypal
26,6,2024-01-02,delivered,0.35,FREESHIP,card
27,46,2024-01-02,shipped,9.96,FREESHIP,paypal
28,44,2024-01-02,shipped,6.04,,paypal
29,8,2024-01-02,delivered,3.91,,cod
30,4,2024-01-02,paid,1.03,NEW10,upi
31,2,2024-01-03,delivered,12.62,SAVE5,upi
32,40,2024-01-03,delivered,12.89,NEW10,paypal
33,31,2024-01-03,shipped,5.63,NEW10,cod
34,15,2024-01-03,shipped,6.66,FREESHIP,paypal
35,36,2024-01-03,placed,4.78,NEW10,upi
36,27,2024-01-03,delivered,4.2,NEW10,cod
37,24,2024-01-03,paid,10.07,,card
38,3,2024-01-03,shipped,15.27,FREESHIP,paypal
39,30,2024-01-03,cancelled,4.97,,upi
40,9,2024-01-03,paid,18.4,NEW10,upi
41,17,2024-01-03,paid,12.02,,cod
42,2,2024-01-03,paid,17.7,FREESHIP,card
43,24,2024-01-03,delivered,3.96,NEW10,card
44,30,2024-01-03,paid,15.21,NEW10,card
45,4,2024-01-03,delivered,3.68,FREESHIP,cod
46,13,2024-01-03,paid,18.72,FREESHIP,card
47,18,2024-01-03,placed,8.4,,upi
48,21,2024-01-03,shipped,17.94,,paypal
49,4,2024-01-04,paid,14.95,SAVE5,cod
50,1,2024-01-04,delivered,11.91,,card
51,28,2024-01-04,delivered,2.65,FREESHIP,upi
52,39,2024-01-04,paid,17.22,FREESHIP,cod
53,17,2024-01-04,delivered,4.17,FREESHIP,paypal
54,19,2024-01-04,paid,5.35,NEW10,cod
55,19,2024-01-04,delivered,11.57,NEW10,card
56,29,2024-01-05,delivered,0.81,NEW10,upi
57,38,2024-01-05,paid,1.5,SAVE5,upi
58,17,2024-01-05,placed,14.64,,card
59,36,2024-01-05,shipped,8.16,FREESHIP,upi
60,27,2024-01-05,placed,15.33,NEW10,upi
61,50,2024-01-05,paid,0.3,SAVE5,upi
62,25,2024-01-05,shipped,16.1,,cod
63,41,2024-01-05,shipped,18.08,SAVE5,upi
64,12,2024-01-05,shipped,0.83,SAVE5,upi
65,30,2024-01-05,shipped,12.54,NEW10,paypal
66,2,2024-01-05,placed,19.72,FREESHIP,upi
67,6,2024-01-05,delivered,10.09,,card
68,42,2024-01-06,cancelled,2.72,,card
69,5,2024-01-06,delivered,12.21,NEW10,upi
70,38,2024-01-06,paid,10.12,NEW10,cod
71,11,2024-01-06,delivered,5.56,NEW10,paypal
72,29,2024-01-06,shipped,11.6,,cod
73,48,2024-01-06,cancelled,5.93,SAVE5,cod
74,41,2024-01-06,shipped,10.25,,upi
75,15,2024-01-06,shipped,6.02,,upi
76,7,2024-01-06,placed,2.89,NEW10,paypal
77,34,2024-01-06,delivered,4.97,,card
